steamId,name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,developers,steamUrl,review_count,review_score,followers,tags,publisher,tag_text,log_review_count,log_followers
1325260,Kitsune Tails,2024-08-01,10331,19.99,164598.0,4,Indie,['Kitsune Games'],https://store.steampowered.com/app/1325260,824,95,3636,"['2D', '2D Platformer', 'Action', 'Adventure', 'Atmospheric', 'Cute', 'Difficult', 'Exploration', 'Fantasy', 'Fast-Paced', 'Female Protagonist', 'Indie', 'LGBTQ+', 'Pixel Graphics', 'Platformer', 'Precision Platformer', 'Retro', 'Side Scroller', 'Singleplayer', 'Story Rich']","MidBoss, LLC.",2D 2D Platformer Action Adventure Atmospheric Cute Difficult Exploration Fantasy Fast-Paced Female Protagonist Indie LGBTQ+ Pixel Graphics Platformer Precision Platformer Retro Side Scroller Singleplayer Story Rich,6.715383386334681,8.19891444498699
1337520,Risk of Rain Returns,2023-11-08,1124412,14.99,13082093.0,16,AA,['Hopoo Games'],https://store.steampowered.com/app/1337520,27994,90,53172,"['2D', 'Action', 'Action Roguelike', 'Arcade', 'Atmospheric', 'Class-Based', 'Co-op', 'Combat', 'Controller', 'Local Co-Op', 'Loot', 'Looter Shooter', 'Multiplayer', 'Online Co-Op', 'Pixel Graphics', 'PvE', 'Roguelike', 'Sci-fi', 'Singleplayer', 'Space']",Gearbox Publishing,2D Action Action Roguelike Arcade Atmospheric Class-Based Co-op Combat Controller Local Co-Op Loot Looter Shooter Multiplayer Online Co-Op Pixel Graphics PvE Roguelike Sci-fi Singleplayer Space,10.239781201782993,10.881306027701488
1340480,The Cosmic Wheel Sisterhood,2023-08-16,121757,17.99,1491874.0,6,AA,['Deconstructeam'],https://store.steampowered.com/app/1340480,5115,94,19681,"['2D', 'Adventure', 'Atmospheric', 'Casual', 'Choices Matter', 'Colorful', 'Fantasy', 'Female Protagonist', 'Great Soundtrack', 'Indie', 'Interactive Fiction', 'LGBTQ+', 'Magic', 'Mystery', 'Narrative', 'Pixel Graphics', 'Sexual Content', 'Singleplayer', 'Story Rich', 'Visual Novel']",Devolver Digital,2D Adventure Atmospheric Casual Choices Matter Colorful Fantasy Female Protagonist Great Soundtrack Indie Interactive Fiction LGBTQ+ Magic Mystery Narrative Pixel Graphics Sexual Content Singleplayer Story Rich Visual Novel,8.540128162698734,9.88745979145893
1346360,Old Skies,2025-04-23,11348,19.99,191617.0,8,Indie,['Wadjet Eye Games'],https://store.steampowered.com/app/1346360,699,94,4438,"['2D', 'Adventure', 'Cinematic', 'Conversation', 'Emotional', 'Exploration', 'Fantasy', 'Female Protagonist', 'Futuristic', 'Interactive Fiction', 'Investigation', 'Linear', 'Mystery', 'Narration', 'Pixel Graphics', 'Point & Click', 'Retro', 'Sci-fi', 'Story Rich', 'Time Travel']",Wadjet Eye Games,2D Adventure Cinematic Conversation Emotional Exploration Fantasy Female Protagonist Futuristic Interactive Fiction Investigation Linear Mystery Narration Pixel Graphics Point & Click Retro Sci-fi Story Rich Time Travel,6.551080335043404,8.398184404834035
1373090,"Yes, Your Grace 2: Snowfall",2025-05-08,20843,24.99,455662.0,8,Indie,['Brave At Night'],https://store.steampowered.com/app/1373090,902,72,14881,"['2.5D', 'Casual', 'Choices Matter', 'Choose Your Own Adventure', 'Cinematic', 'Historical', 'Indie', 'Inventory Management', 'LGBTQ+', 'Life Sim', 'Management', 'Medieval', 'Multiple Endings', 'Pixel Graphics', 'RPG', 'Resource Management', 'Simulation', 'Singleplayer', 'Story Rich', 'Strategy']",Brave At Night,2.5D Casual Choices Matter Choose Your Own Adventure Cinematic Historical Indie Inventory Management LGBTQ+ Life Sim Management Medieval Multiple Endings Pixel Graphics RPG Resource Management Simulation Singleplayer Story Rich Strategy,6.805722553416985,9.607907707957207
1405500,Angel at Dusk,2024-01-12,51373,14.99,510895.0,7,Indie,['Akiragoya'],https://store.steampowered.com/app/1405500,1486,99,5719,"[""1990's"", '2D', 'Action', 'Aliens', 'Bullet Hell', 'Dark', 'Destruction', 'Dystopian', 'Hand-drawn', 'Horror', 'Multiple Endings', 'Noir', 'Pixel Graphics', 'Post-apocalyptic', 'Psychedelic', 'Psychological Horror', ""Shoot 'Em Up"", 'Shooter', 'Story Rich', 'Top-Down']",Henteko Doujin,1990's 2D Action Aliens Bullet Hell Dark Destruction Dystopian Hand-drawn Horror Multiple Endings Noir Pixel Graphics Post-apocalyptic Psychedelic Psychological Horror Shoot 'Em Up Shooter Story Rich Top-Down,7.304515946460155,8.651724084373843
1405500,Angel at Dusk,2024-01-12,51373,14.99,510895.0,7,Indie,['Akiragoya'],https://store.steampowered.com/app/1405500,1486,99,5719,"[""1990's"", '2D', 'Action', 'Aliens', 'Bullet Hell', 'Dark', 'Destruction', 'Dystopian', 'Hand-drawn', 'Horror', 'Multiple Endings', 'Noir', 'Pixel Graphics', 'Post-apocalyptic', 'Psychedelic', 'Psychological Horror', ""Shoot 'Em Up"", 'Shooter', 'Story Rich', 'Top-Down']",Sanuk Inc.,1990's 2D Action Aliens Bullet Hell Dark Destruction Dystopian Hand-drawn Horror Multiple Endings Noir Pixel Graphics Post-apocalyptic Psychedelic Psychological Horror Shoot 'Em Up Shooter Story Rich Top-Down,7.304515946460155,8.651724084373843
1417930,Lorn's Lure,2024-09-20,53748,14.99,693617.0,5,Indie,['Rubeki Games'],https://store.steampowered.com/app/1417930,2269,89,8457,"['3D', '3D Platformer', 'Action', 'Action-Adventure', 'Adventure', 'Atmospheric', 'Cinematic', 'Dark', 'Difficult', 'Experimental', 'Exploration', 'First-Person', 'Horror', 'Indie', 'Minimalist', 'Parkour', 'Pixel Graphics', 'Platformer', 'Singleplayer', 'Stylized']",Rubeki Games,3D 3D Platformer Action Action-Adventure Adventure Atmospheric Cinematic Dark Difficult Experimental Exploration First-Person Horror Indie Minimalist Parkour Pixel Graphics Platformer Singleplayer Stylized,7.727535110475448,9.042868018032435
1466390,Kathy Rain 2: Soothsayer,2025-05-20,14942,19.99,251654.0,7,AA,['Clifftop Games'],https://store.steampowered.com/app/1466390,676,96,5044,"[""1990's"", '2D', 'Adventure', 'Atmospheric', 'Conspiracy', 'Crime', 'Detective', 'Female Protagonist', 'Interactive Fiction', 'Investigation', 'Mystery', 'Noir', 'Pixel Graphics', 'Point & Click', 'Puzzle', 'Retro', 'Singleplayer', 'Story Rich', 'Stylized', 'Thriller']",Raw Fury,1990's 2D Adventure Atmospheric Conspiracy Crime Detective Female Protagonist Interactive Fiction Investigation Mystery Noir Pixel Graphics Point & Click Puzzle Retro Singleplayer Story Rich Stylized Thriller,6.517671272912275,8.52615293278771
1471270,Seablip,2024-05-17,62444,14.99,794716.0,5,Indie,['Jardar Solli'],https://store.steampowered.com/app/1471270,926,84,22913,"['2D', 'Action-Adventure', 'Adventure', 'Casual', 'Character Customization', 'Colorful', 'Combat', 'Cute', 'Early Access', 'Exploration', 'Fishing', 'Indie', 'Naval Combat', 'Open World', 'Pirates', 'Pixel Graphics', 'RPG', 'Singleplayer', 'Strategy', 'Strategy RPG']",Vibedy,2D Action-Adventure Adventure Casual Character Customization Colorful Combat Cute Early Access Exploration Fishing Indie Naval Combat Open World Pirates Pixel Graphics RPG Singleplayer Strategy Strategy RPG,6.831953565565855,10.03950335645357
