steamId,name,Tags,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,Review Count,Review Score,Steam Followers
2951770,Leap Year,Exploration,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Precision Platformer,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,2D Platformer,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Puzzle Platformer,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Metroidvania,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Puzzle,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Platformer,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,2D,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Nonlinear,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Action,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Hand-drawn,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Pixel Graphics,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Logic,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
2951770,Leap Year,Mystery,6/13/2024,"69,469",$4.99,"$242,723",2,Indie,"[""Daniel Linssen"",""Sokpop Collective""]","[""Daniel Linssen""]",https://store.steampowered.com/app/2951770,"2,465",97,"2,360"
