steamId,name,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,review_count,review_score,followers,tags
2322440,METAL SLUG ATTACK RELOADED,2024-06-18,32660,9.99,272251.0,25,Indie,['SNK CORPORATION'],['SNK CORPORATION'],https://store.steampowered.com/app/2322440,1444,73,5559,"['2D', '2D Platformer', 'Auto Battler', 'Controller', 'Deckbuilding', 'Multiplayer', 'Nostalgia', 'Pixel Graphics', 'Psychological Horror', 'PvP', 'RPG', 'Retro', 'Simulation', 'Singleplayer', 'Strategy', 'Survival Horror', 'Tower Defense']"
2332210,Born Again,2023-12-15,32865,0.0,26021.0,14,Indie,"['Unnamed Studios, LLC']","['Unnamed Studios, LLC']",https://store.steampowered.com/app/2332210,920,84,1303,"['2D', 'Action', 'Action Roguelike', 'Adventure', 'Bullet Hell', 'Character Customization', 'Combat', 'Fantasy', 'Free to Play', 'Hack and Slash', 'Indie', 'Loot', 'MMORPG', 'Martial Arts', 'Massively Multiplayer', 'Pixel Graphics', 'PvE', 'RPG', 'Roguelike', 'Roguelite']"
2332410,Hero of Fate,2023-09-02,23048,2.99,40354.0,17,Indie,['Wise Games'],['Planescape Game Studio'],https://store.steampowered.com/app/2332410,539,81,1438,"['2D', 'Action', 'Action RPG', 'Bullet Hell', 'Choices Matter', 'Choose Your Own Adventure', 'Fantasy', 'Indie', 'Lore-Rich', 'Pixel Graphics', 'RTS', 'Real-Time with Pause', 'Roguelike Deckbuilder', 'Roguelite', ""Shoot 'Em Up"", 'Singleplayer', 'Story Rich', 'Strategy', 'Survival', 'Vampire']"
2334730,Death Must Die,2023-11-14,1007637,6.99,6079125.0,18,Indie,['Realm Archive'],['Realm Archive'],https://store.steampowered.com/app/2334730,20611,91,55433,"['2D', 'Action', 'Action RPG', 'Action Roguelike', 'Bullet Hell', 'Controller', 'Dark Fantasy', 'Early Access', 'Fantasy', 'Hack and Slash', 'Inventory Management', 'Isometric', 'Loot', 'Magic', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Roguelike', 'Roguelite', 'Singleplayer']"
2346410,Border Pioneer,2025-02-06,144945,14.99,1422415.0,9,Indie,"['Yogscast Games', 'Gamersky Games']",['Yahzj Games'],https://store.steampowered.com/app/2346410,1294,88,9243,"['2D', 'Action', 'Base Building', 'Card Game', 'City Builder', 'Colorful', 'Combat', 'Deckbuilding', 'Fantasy', 'Medieval', 'Pixel Graphics', 'RTS', 'Resource Management', 'Roguelite', 'Singleplayer', 'Strategy', 'Top-Down', 'Tower Defense', 'Turn-Based Strategy', 'Wargame']"
2348610,Slime 3K: Rise Against Despot,2023-11-02,120229,4.99,471387.0,5,AA,['tinyBuild'],['Konfa Games'],https://store.steampowered.com/app/2348610,1498,81,6238,"['2D', 'Action', 'Action RPG', 'Action Roguelike', 'Arcade', 'Bullet Hell', 'Colorful', 'Deckbuilding', 'Early Access', 'Funny', 'Hack and Slash', 'Pixel Graphics', 'PvE', 'RPG', 'Roguelike', 'Roguelite', ""Shoot 'Em Up"", 'Shooter', 'Top-Down', 'Top-Down Shooter']"
2355150,Mudborne: Frog Management Sim,2025-03-20,31760,7.99,212681.0,8,Indie,['Future Friends Games'],"['ellraiser', 'TNgineers']",https://store.steampowered.com/app/2355150,648,97,5354,"['2D', 'Base Building', 'Casual', 'Character Customization', 'Collectathon', 'Colorful', 'Crafting', 'Cute', 'Education', 'Fantasy', 'Farming Sim', 'Immersive Sim', 'Inventory Management', 'Management', 'Nature', 'Pixel Graphics', 'Resource Management', 'Science', 'Simulation', 'Top-Down']"
2366970,Arco,2024-08-15,40922,19.99,636289.0,6,Indie,['Panic'],"['Franek', 'Max Cahill', 'Bibiki', 'Fáyer']",https://store.steampowered.com/app/2366970,1661,97,11385,"['Action-Adventure', 'Adventure', 'Atmospheric', 'Bullet Time', 'Choices Matter', 'Choose Your Own Adventure', 'Conversation', 'Dark', 'Exploration', 'Fantasy', 'Nonlinear', 'Pixel Graphics', 'RPG', 'Soundtrack', 'Story Rich', 'Strategy', 'Turn-Based Combat', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Western']"
2369900,Castlevania Dominus Collection,2024-08-27,110631,24.99,2322783.0,16,AAA,['KONAMI'],['KONAMI'],https://store.steampowered.com/app/2369900,2253,95,13297,"['2D', '2D Platformer', 'Action', 'Action RPG', 'Action-Adventure', 'Controller', 'Dark Fantasy', 'Demons', 'Exploration', 'Great Soundtrack', 'Horror', 'Magic', 'Metroidvania', 'Pixel Graphics', 'Platformer', 'RPG', 'Retro', 'Singleplayer', 'Vampire', 'Violent']"
2373630,Moonring,2023-09-28,100689,0.0,15009.0,4,Indie,"['Fluttermind, LLC']","['Fluttermind, LLC']",https://store.steampowered.com/app/2373630,2186,96,5858,"['1980s', '2D', 'Atmospheric', 'CRPG', 'Dark Fantasy', 'Free to Play', 'Grid-Based Movement', 'Lovecraftian', 'Medieval', 'Multiple Endings', 'Old School', 'Open World', 'Pixel Graphics', 'Procedural Generation', 'RPG', 'Retro', 'Roguelike', 'Singleplayer', 'Traditional Roguelike', 'Turn-Based Combat']"
